id;surname;name;patronymic;is_decan
1;Cross-group;Pizza Marketing synthesizing;invoice Rustic Reverse-engineered;true
2;zero tolerance;Handcrafted Steel Ball;Borders ivory;false
3;networks magenta invoice;Books Wyoming e-commerce;Unbranded Concrete Hat;true
4;Montana Investment Account function;multi-byte alarm Handmade Metal Chicken;Automated withdrawal;true
5;Personal Loan Account parse navigating;SQL installation;capacitor Senior program;true
6;dynamic quantifying eco-centric;Bacon primary;channels Infrastructure;false
7;Outdoors;synthesizing back up secured line;Steel;true
8;Principal matrix Hat;Personal Loan Account disintermediate transmitting;Multi-layered Bacon;false
9;Roads;magenta cohesive;deposit Synergistic Missouri;false
10;alarm Ergonomic Credit Card Account;Alley;New Israeli Sheqel intranet;false
